Rank	Racer	Time
1	Sigma	0:09.7
2	Liam	0:10.1
3	Ratatouille	0:10.5
4	Maxie	0:11.3
5	Dangus	0:11.4
6	Gustavo	0:11.8
7	Bongo	0:12.4
8	asim	0:14.4
9	Max Whiskstappen	0:15.0
10	Esteben	0:16.2
11	Tanster	0:17.1
12	Fraser	0:18.2
13	Paul	0:18.4
14	Kazza	0:20.0
14	Kilo	0:20.0
15	Slay	0:20.9
16	Mini Mouse	0:21.8
17	Cheeser	0:23.0
18	Vanya	0:23.2
19	Zuzanna	0:27.0
20	Nibbles	0:27.6
21	Michael Jackson	0:28.0
22	Escape	0:29.8
23	Remy	0:30.1
24	Randomia	0:30.5
25	asim	0:30.7
26	Emile	0:32.5
26	Django 	0:32.5
27	Snowy	0:32.8
28	Julius Cheeser	0:45.1
29	Alexander Rattington	1:06.3
30	Zoe	1:07.4
31	Skid Marks	1:09.4
32	Bailey	1:35.0
33	Angela	1:48.5
34	Mickey Mouse	2:30.0
